invoice_number,invoice_number_bbox,issue_date,issue_date_bbox,total,total_bbox,table,table_bbox,title
NO. 001,"[242, 460, 265, 469]",15 OCTOBER 2018,"[256, 485, 388, 494]",$2550 USD,"[834, 1070, 905, 1078]","DESCRIPTION HOURS RATE
WEDDING PHOTOSHOOT IN WACO, TEXAS AT THE WOOD HOMESTEAD BARNHOUSE 8 $150 / HR
PHOTO EDITING FOR UP TO 30 IMAGES $150 / HR
DIGITIAL IMAGES UPLOADED TO DROPBOX FOR CLIENT REVIEW OTHER SERVICES $150 / HR
$150 / HR","[207, 561, 774, 919]",service-invoice.jpg
US-001,"[634, 228, 653, 237]",11/02/2019,"[594, 258, 655, 267]",$154.06,"[610, 525, 653, 535]","Qty Description Unit Price
1 Front and rear brake cables 100.00
2 New set of pedal arms 15.00
3 Labor 3hrs 5.00","[108, 351, 528, 446]",commercial-invoice-template.png
4631508,"[784, 172, 847, 183]",13/05/2013,"[881, 750, 971, 763]","1,445.99","[1074, 1299, 1133, 1310]","Description Seller's published Changes, Cancellations and Storage Fees Policy shall apply and is available upon request. 1 2088G4S22A1M5B4E5T1Q4 @ 1,435.20 (USD), 1,435.20 Total Amount (USD)","[424, 810, 509, 824]",Invoice Sample Photography.jpg
25,"[593, 205, 603, 212]",1/3/2017,"[562, 230, 603, 238]",$10.60,"[576, 494, 603, 502]","DESCRIPTION QUANTITY PRICE
Black Tea 2.00 $5.00","[42, 296, 430, 332]",invoice-template-us-cool-waves-750px.png
CRM12345,"[659, 147, 717, 157]",09/20/2012,"[660, 107, 725, 116]","$4,435.50","[687, 548, 732, 555]","Ext Description Unit Price Ext Price
1 ASME Consultant (s) Expenses $2,820.00 $2,820.00
1 ASME Consultant (s) Services $1,654.00 $1,654.00
1 ASME Owner's Certificate of Accreditation $6,961.50 $6,961.50","[578, 392, 737, 434]",p1.jpg
2022/000323,"[485, 169, 553, 179]","July 7, 2022","[484, 187, 543, 198]",$141.90,"[584, 635, 619, 645]",Beanie SKU: Woo-beanie-logo Price: $20.00 Quantity: 2 Tax rate: 21% Belt SKU: woo-belt Price: $55.00 Quantity: 1 Tax rate: 10% Cap SKU: woo-cap Price: $16.00 Quantity: 1 Tax rate: 10%,"[85, 329, 470, 466]",invoice.png
0001,"[339, 447, 365, 456]",10/22/20,"[246, 355, 296, 364]",$5475.00,"[654, 712, 703, 720]","Description RXT-1 (1st installment, 10% of total purchase) Quantity 1 Unit Price $5,475.00 Subtotal $5,475.00 Total $5,475.00","[249, 509, 706, 720]",Invoices_Final_Invoice_Non_Boiler.jpg
165,"[79, 245, 98, 255]","Jul 18, 2022","[80, 344, 161, 378]","$2,860.00","[608, 757, 680, 769]","ITEM NAME UNITS RATE TOTAL
Item name 2 $450.00 $900.00
Item name 1 $300.00 $300.00
Item name 3 $500.00 $1,500.00
Subtotal $2,700.00
Discount -$100.00
Tax $260.00","[79, 470, 716, 727]",PDF-Invoices-Sample-invoice-with-VAT-itemized-using-the-customizer-included-in-Premium-Templates.png
21,"[97, 340, 124, 356]",14/12/2016,"[99, 408, 241, 425]",£775.00,"[1490, 1877, 1561, 1894]","AL-D-6 Alison Tunic - Size: 6 100% Cotton £25.00
AL-D-8 Alison Tunic - Size: 8 100% Cotton £25.00
AL-D-10 Alison Tunic - Size: 10 100% Cotton £25.00
AL-D-12 Alison Tunic - Size: 12 100% Cotton £25.00
AL-D-14 Alison Tunic - Size: 14 100% Cotton £25.00
AN-D-6 Angie Dress - Size: 6 100% Cotton £25.00
AN-D-8 Angie Dress - Size: 8 100% Cotton £25.00
AN-D-10 Angie Dress - Size: 10 100% Cotton £25.00
AN-D-12 Angie Dress - Size: 12 100% Cotton £25.00
AN-D-14 Angie Dress - Size: 14 100% Cotton £25.00","[116, 814, 253, 1820]",6NOC3qZ088oHYz6Bi3l7Mv1PvzFBgi6Z1DFnRpU5.jpeg
CI-10012014,"[461, 184, 516, 193]",10.JULY.2014,"[429, 198, 505, 208]","100.000,00 USD","[490, 302, 579, 313]","DESCRIPTION INVOICE NO DATE QUANTITY PCT VALUE OF GOODS SHIPPED DEDUCTION OF ADVANCE PAYMENT NET AMOUNT
100 PCT . 2.000,00 Pcs CIF TRIPOLI PORT LIBYA 2x40ft Dry Containers Port of Felixstowe IRREVOCABLE CONFIRMED LETTER OF CREDIT 5322122004 TOTAL PRICE 100.000,00 USD FLUID LIMITED Fluid Centre , 120 Pinehurst Road , Farnborough , KU12 7VG , UK HSBC 100.000,00 USD 20.000,00 USD 80.000,00 USD","[142, 251, 580, 472]",62d834455e768e8073428f65_project-management-invoice-template-p-800.jpeg
982093,"[79, 128, 132, 141]","04), 298 1092 +76 209 3095 1092","[80, 191, 145, 205]",$2112.25,"[403, 482, 451, 491]","DESCRIPTION QTY PRICE
Web Design 1 $200.00 $200.00
Branding 1 $350.00 $350.00
Graphic Design 27 $55.00 $1485.00
Web Development 1 $450.00 $450.00","[75, 259, 457, 400]",file-8hNyTh6zgW.png
46222,"[1673, 204, 1883, 264]",06/12/2010,"[1482, 1066, 1663, 1093]","6,326.00","[2236, 2500, 2371, 2526]","1 STDCHK 421.00
2 STDCHK 29.10
3 STDCHK 3.29
4 Parts 384.60
5 Service 6,725.57","[1086, 2153, 2379, 2186]",commercial-invoice-sample.png
5559-789,"[430, 200, 472, 208]","3 February, 2005","[430, 176, 506, 185]",USD 1.150,"[583, 580, 607, 588]","1. Populated Printed Circuit Board used in a Word Processor. CPU, DRAM; HTS # 8473.10., Manufactured in South Korea.
2. Laser Imaging Assembly for a Laser Printer incorporating a toner receptacle unit and a cleaning unit; HTS # 8473.30., Manufactured in Mexico.","[119, 434, 397, 509]",cyan-modern-invoice-sample-design-template-e32398e335dbbbbf626b8162ba2aec0c_screen.jpg
0219-0001,"[223, 469, 308, 483]",07/01/0219,"[95, 716, 142, 728]",$70.00,"[1135, 1444, 1180, 1456]","Description Item Quantity Unit Price Total
Educational services 1 60 minutes $70.00 $70.00","[483, 832, 1186, 878]",120101207_10184901.jpg
CIV-000676 000007-1,"[573, 139, 730, 150]",30 November 2019,"[591, 160, 729, 172]","$321,113.52","[583, 226, 727, 247]","ITEM DESCRIPTION QUANTITY Each SALES PRICE DISCOUNT AMOUNT
D011 Lens 2 Each 2 4.00
L0001 Mid-Range Speaker 35 Each 500 17,500.00
P0001 Acoustic Foam Panel 117 Each 37 4,329.00
D0003 Standard Speaker 23 Each 220 5,060.00
TO001 Speaker cable 10 65 Each 500 32,500.00
D0004 High-End Speaker 12 Each 2000 24,000.00
TO004 Television M120 37"" Silver 53 Each 350 18,550.00
TO0002 Projector Television 23 Each 3750 86,250.00
TO005 Television HDTV X590 52"" White 33 Each 2890 95,370.00
TO003 Surround Sound Receiver 56 Each 450 25,200.00","[40, 281, 736, 553]",Commercial-Invoice-Template-19.jpg
BS 10009,"[705, 219, 744, 227]",11/6/2013,"[685, 239, 744, 249]",£ 120.00,"[696, 499, 741, 508]","Product Price Quantity Line Total
Flying Ninja £ 12.00 6 £ 72.00
Happy Ninja £ 18.00 1 £ 18.00
Woo Ninja £ 15.00 2 £ 30.00","[63, 330, 741, 417]",racial-labor-invoice.png
37,"[247, 48, 258, 56]",19-Nov-20,"[365, 48, 411, 56]","93,000.00","[425, 605, 477, 615]","1 Asus 15 Nos 6,200.00","[11, 356, 388, 364]",paginated-report-invoice.png
38058464127,"[614, 61, 691, 71]",27/02/2014,"[415, 160, 531, 170]",$635.90,"[664, 620, 717, 634]","Apple®- iPad®, with Retina display Wi-Fi- 32GB - White CODE: 10241GCXF9 Quantity 1 Unit price $499.00
Recreational Flying Headset CODE: rf-250 Quantity 1 Unit price $129.95","[13, 394, 721, 506]",07_Invoice_Example.png
GE/3847/20-2013,"[87, 113, 189, 125]","October 10, 2020","[32, 91, 135, 101]","€ 10,440.00","[628, 912, 700, 923]","Wireless Mouse Robots Description Of The Item To Be Added Here 34895 8 Pcs 1000.00 € 0.00 * 960.00 (12%) Herman Miller Execuive Chair Description Of The Item To Be Added Here 34895 4 Pcs 1000.00 * 0.00 480.00 1,480.00 (12%)","[59, 488, 609, 628]",comercial-invoice.jpg
22011,"[687, 190, 739, 206]",08/01/2020,"[30, 371, 94, 382]","$3,618.95","[682, 663, 732, 674]","Services A104 - Review / analyze: Reviewing the discovery that was sent over by Paul Hours 2.30 $ 125.00 / hr
A105 - Communicate (in firm): Discussed strategy for case moving forward with Beth and Monique Hours 0.84 $ 125.00 / hr
Expenses E101 - Copying: Had copies made of the outline proposal $ 43.95","[181, 347, 642, 420]",586a7988dc847bbaf934469ddb58773e--invoice-template-templates.jpg
48,"[525, 566, 557, 585]",18/12/2014,"[528, 518, 669, 536]",€121.00,"[1370, 1450, 1452, 1467]",Product Simple product SKU Qty. Price Simple01 1 €100.00,"[183, 914, 1453, 1007]",image-66.png
INCO-3764-CIRA-5789,"[327, 40, 436, 48]",22 JUN 2017,"[166, 260, 225, 266]",$ 50340.00,"[594, 744, 640, 750]","Description of Goods Unit Quantity Total
Lightbulb 2 x 37 watt 1000 4000.00
Elecwire 20m 450 12600.00
Cable wire 40m 70 33740.00","[166, 339, 640, 385]",mceclip2.png
GS00000001,"[178, 117, 270, 129]",1/01/2008,"[56, 137, 103, 146]",$467.50,"[501, 558, 534, 568]",Product Item description 5 GRICE $ 500.00 Qty,"[64, 256, 419, 290]",SampleInvoice_Original-scaled.jpg
C-81/2,"[143, 362, 224, 384]",31/08/2015,"[1133, 349, 1283, 369]",310693.00,"[1273, 1329, 1386, 1346]",,,contoh-commercial-invoice-4.png
1,"[723, 67, 731, 78]",04/25/2019,"[641, 31, 716, 42]",$1010.00,"[648, 785, 729, 805]","Description DJ & MC Performance Duration 5 Hour
Equipment & Lightning Number of Participants: 51-80

Description Photo Booth Duration 5 Hour

Videography Duration 5 Hour","[56, 482, 216, 729]",Invoice_Item1.jpg
58/2nd/Flr/Shelay/Industrial Estate/Udyog Nagar/Goregaon (w),"[31, 69, 209, 122]",10/10/2020,"[539, 113, 608, 126]","€ 3,600.00","[623, 932, 692, 944]","Herman Miller Executive Chair Description of the item to be added here UPI ID manan321@ybl VG248QE 24"" Monitor Description of the item to be added here., - WAYBILL NUMBER KSDHFKJSDHSK3424HK2H34 (cancelled) TERMS & CONDITIONS 34929 12 Pcs € 100.00 34174 12 Pcs € 120.00 (12 %) ADDITIONAL DISCOUNT 3,000.00 * 300.00 * 300.00 30.00 € 0.00","[31, 585, 693, 821]",Tax Invoice.jpg
2017-40,"[778, 81, 838, 94]",20-07-2017,"[754, 111, 838, 123]",4899.36,"[807, 856, 857, 866]",No. Name Qty Rate Disc. . 1 GST Registration - Standard Package 1 4152 0 4152,"[96, 543, 479, 592]",dj-invoice-template-53096e98fc70ac1da9440ca933bbbbf0.png
1227,"[1001, 333, 1043, 348]",10/9/2020,"[1026, 305, 1115, 320]","$9,769.53","[791, 1247, 869, 1263]",PROFESSIONAL SERVICES DATE EMPLOYEE 9/21/2020 Jason Acosta 0.75 9/21/2020 Steven Cohen 0.75 9/25/2020 Scott Jackson 2.00 10/9/2020 Doug Donovan 2.00 10/9/2020 Alice Shapiro 7.00 EXPENSES DATE EMPLOYEE 9/20/2020 Alice Shapiro 12.50 DESCRIPTION Pickup Redline Corrections Pickup Redline Corrections Pickup Redline Corrections Client Meeting Elevations DESCRIPTION Copies LAST INV NO 1212 LAST INV DATE 9/18/2020,"[24, 523, 1049, 780]",image-75.png
NBS/EV/HC-SAT,"[64, 82, 128, 90]",09/07/2020,"[408, 208, 503, 225]",13.557 mm,"[327, 305, 406, 322]","S.no Item Date
1 Physical Observation 204 2pole 13.557 mm Scour Himm
2 Electrical Observation 034 0.2 . yes
3 SITE ACCEPTANCE TEST REPORT 26 36its .","[74, 233, 497, 363]",Sample-GST-Invoice-956x1024.png
500117A,"[691, 171, 714, 175]",09/06/2012,"[403, 159, 460, 169]",$39.65,"[626, 143, 638, 159]",SERVICE DATE OF SERVICE Billed charges to date Receipts to date Adjustments to date Insurance Pending Balance Forward 07/19/12 PAYMENT CHECK; 1313 Billed charges to date Receipts to date Adjustments to date Insurance Pending Account Balance,"[29, 395, 697, 499]",e1a0ba8226a03551145610bd34968cc5.jpg
1000001,"[772, 198, 824, 210]","July 6, 2012","[771, 175, 854, 189]","$2,407.00","[897, 1002, 955, 1014]","QUANTITY DESCRIPTION UNIT PRICE AMOUNT
120 Widgets $10.00 $1,200.00
1,000 Tin Badges $1.00 $1,000.00","[18, 427, 956, 506]",creating-invoices-on-excel.png
